Width,Counts,Seconds,CPS,CPS \sigma,True CPS,True CPS \sigma,Adjusted,Adjusted \sigma,NCR,NCR \sigma
,49,300,0.1633333333,0.02333333333,0.1633409559,0.02333442227,,,,
0,2187,60,36.45,0.003541822905,36.83359559,0.00357909664,36.67025463,0.02360623598,1,0.0009103907081
0.02,1273,60,21.21666667,0.006084812798,21.34606448,0.006121923315,21.18272352,0.02412412087,0.5776541159,0.001308206363
0.025,1198,60,19.96666667,0.006465748491,20.08122528,0.006502845677,19.91788432,0.02422358901,0.5431618765,0.001376038475
0.032,995,60,16.58333333,0.007784891148,16.66228081,0.007821952303,16.49893985,0.02461053028,0.4499270599,0.001624624525
0.04,759,60,12.65,0.01020548971,12.69588656,0.01024250907,12.53254561,0.02548341137,0.3417632556,0.002132846591
0.05,564,60,9.4,0.0137339835,9.4253137,0.01377096838,9.261972744,0.02709492264,0.2525745413,0.002995386063
0.063,334,60,5.566666667,0.02319151704,5.575534421,0.02322846136,5.412193466,0.03292501602,0.147590834,0.006117453425
0.08,400,180,2.222222222,0.03354101966,2.223634053,0.03356232908,2.060293097,0.04087695189,0.05618431391,0.01985079839
0.09,248,180,1.377777778,0.05409841881,1.378320355,0.05411972308,1.214979399,0.05893589474,0.03313255964,0.04851200309
0.1,275,275,1,0.06030226892,1.000285796,0.06031950306,0.83694484,0.06467563461,0.022823535,0.07727854407
0.125,142,500,0.284,0.1574695759,0.2840230464,0.1574823544,0.1206820905,0.1592017187,0.003291007705,1.319182796
