Width,Counts,Seconds,CPS,CPS \sigma,True CPS,True CPS \sigma,Adjusted,Adjusted \sigma,NCR,NCR \sigma
,47,300,0.1566666667,0.3958114029,0.1566736797,0.395829121,,,,
0,2936,400,7.34,2.709243437,7.355425378,2.714937048,7.355425378,2.714937048,1,0.521995751
0.0007,1471,200,7.355,2.712010324,7.370488555,2.717721422,7.213814876,2.746395896,0.9807474762,0.5302664097
0.001,1454,200,7.27,2.696293753,7.28513226,2.701905997,7.128458581,2.730746548,0.9691429407,0.5319657481
0.02,1462,200,7.31,2.703701167,7.325299411,2.709359859,7.168625731,2.738121899,0.9746038282,0.5311615039
0.025,1499,200,7.495,2.737699764,7.511084451,2.743574934,7.354410771,2.771981983,0.9998620601,0.5275453625
0.032,1505,200,7.525,2.743173345,7.541213609,2.749083875,7.38453993,2.77743458,1.003958242,0.5269744838
0.04,1510,200,7.55,2.747726333,7.566321637,2.753666385,7.409647957,2.78197039,1.00737178,0.5265019612
0.05,1467,200,7.335,2.708320513,7.350404347,2.714008299,7.193730668,2.742721593,0.9780169464,0.5306629745
0.08,1496,200,7.48,2.734958866,7.496020066,2.740816382,7.339346386,2.769251728,0.9978139957,0.5278323915
0.09,1443,200,7.215,2.686075204,7.229903931,2.691623794,7.073230251,2.720573348,0.9616344246,0.53308505
0.1,2837,400,7.0925,2.663174797,7.106901629,2.668582489,6.950227949,2.697779308,0.9449117613,0.5356356996
0.125,2849,400,7.1225,2.668801229,7.137023844,2.674243314,6.980350164,2.703378996,0.949006999,0.5350035483
