Width,Counts,Seconds,CPS,CPS \sigma,True CPS,True CPS \sigma,Adjusted,Adjusted \sigma,NCR,NCR \sigma
,49,300,0.1633333333,0.02333333333,0.1633409559,0.02333442227,,,,
0,2187,60,36.45,0.7794228634,36.83359559,0.7876254196,36.67025463,0.7879709677,1,0.03038864171
0.02,1273,60,21.21666667,0.5946520925,21.34606448,0.5982788016,21.18272352,0.5987336801,0.5776541159,0.03550571323
0.025,1198,60,19.96666667,0.5768689433,20.08122528,0.5801787248,19.91788432,0.5806477831,0.5431618765,0.03621572334
0.032,995,60,16.58333333,0.5257270099,16.66228081,0.528229813,16.49893985,0.528744958,0.4499270599,0.03858443101
0.04,759,60,12.65,0.4591659105,12.69588656,0.4608314871,12.53254561,0.4614218837,0.3417632556,0.04262970544
0.05,564,60,9.4,0.3958114029,9.4253137,0.3968773019,9.261972744,0.3975626844,0.2525745413,0.0480023012
0.063,334,60,5.566666667,0.304594448,5.575534421,0.30507967,5.412193466,0.3059707507,0.147590834,0.06047960052
0.08,400,180,2.222222222,0.1111111111,2.223634053,0.1111817027,2.060293097,0.1136039888,0.05618431391,0.05917874385
0.09,248,180,1.377777778,0.08748897638,1.378320355,0.08752343005,1.214979399,0.09058060537,0.03313255964,0.07758810993
0.1,275,275,1,0.06030226892,1.000285796,0.06031950306,0.83694484,0.06467563461,0.022823535,0.08020781595
0.125,142,500,0.284,0.02383275058,0.2840230464,0.02383468459,0.1206820905,0.0333554711,0.003291007705,0.2772252608
